Group_ID,Person_ID,Pose_ID,Image_Filename,Shoulder_Height_Diff_px,Hip_Height_Diff_px,Torso_Vertical_Tilt_deg,Ear_Hip_Vertical_Tilt_deg,Shoulder_Line_Horizontal_Tilt_deg,Hip_Line_Horizontal_Tilt_deg
M3,1063,P10,C_P10_1063_cam101_100f.jpg,0.00,1.00,-0.23,-1.46,-0.00,0.53
M3,1097,P10,E_P10_1097_cam101_100f.jpg,3.00,0.00,-0.75,-1.76,1.04,-0.00
M3,1098,P10,E_P10_1098_cam101_100f.jpg,2.00,2.00,-0.97,-0.17,-0.66,1.01
M3,1099,P10,E_P10_1099_cam101_100f.jpg,3.00,3.00,-1.40,-2.44,1.03,-1.53
M3,1100,P10,E_P10_1100_cam101_100f.jpg,0.00,2.00,1.22,0.00,-0.00,-1.11
M3,1101,P10,E_P10_1101_cam101_100f.jpg,1.00,1.00,-1.84,0.00,-0.33,-0.60
M3,1102,P10,E_P10_1102_cam101_50f.jpg,2.00,1.00,-0.44,-1.08,-0.59,-0.47
M3,1103,P10,E_P10_1103_cam101_100f.jpg,4.00,2.00,-2.68,-0.47,-1.29,1.10
M3,1105,P10,E_P10_1105_cam101_100f.jpg,4.00,3.00,-1.48,-1.88,1.32,-1.48
M3,1106,P10,E_P10_1106_cam101_100f.jpg,14.00,1.00,-0.44,2.01,3.87,0.49
M3,1107,P10,E_P10_1107_cam101_100f.jpg,4.00,1.00,-0.45,-1.87,-1.29,-0.45
M3,1108,P10,E_P10_1108_cam101_100f.jpg,6.00,3.00,0.00,1.00,1.85,1.46
M3,1109,P10,E_P10_1109_cam101_100f.jpg,13.00,1.00,-0.70,0.48,4.04,-0.53
M3,1110,P10,E_P10_1110_cam101_50f.jpg,10.00,1.00,3.83,1.83,3.20,0.51
M3,1111,P10,E_P10_1111_cam101_100f.jpg,8.00,1.00,0.49,-0.67,2.28,-0.49
M3,1112,P10,E_P10_1112_cam101_100f.jpg,5.00,2.00,-2.22,-3.50,-1.62,1.09
M3,1164,P10,H_P10_1164_cam101_50f.jpg,8.00,1.00,1.41,1.14,2.66,0.52
M3,1165,P10,H_P10_1165_cam101_50f.jpg,2.00,3.00,-0.27,0.72,-0.65,1.55
M3,1166,P10,H_P10_1166_cam101_100f.jpg,3.00,2.00,0.78,-1.07,1.04,1.12
M3,1167,P10,H_P10_1167_cam101_100f.jpg,1.00,1.00,-1.56,,0.31,-0.52
M3,1168,P10,H_P10_1168_cam101_100f.jpg,3.00,1.00,2.23,1.01,0.99,0.54
M3,1169,P10,H_P10_1169_cam101_50f.jpg,4.00,0.00,-0.44,-0.31,-1.28,-0.00
M3,1170,P10,H_P10_1170_cam101_100f.jpg,4.00,2.00,-0.73,-2.94,-1.29,0.99
M3,1171,P10,H_P10_1171_cam101_100f.jpg,3.00,3.00,-0.25,-0.69,0.98,1.61
M3,1172,P10,H_P10_1172_cam101_100f.jpg,15.00,1.00,1.17,0.33,4.74,-0.49
M3,1173,P10,H_P10_1173_cam101_100f.jpg,5.00,1.00,3.11,2.01,1.67,0.51
M3,1174,P10,H_P10_1174_cam101_100f.jpg,8.00,0.00,0.98,-0.17,2.65,-0.00
M3,1175,P10,C_P10_1175_cam101_100f.jpg,7.00,2.00,1.28,0.53,2.46,-1.19
M3,1177,P10,H_P10_1177_cam101_100f.jpg,11.00,0.00,1.73,,3.79,-0.00
M3,1178,P10,H_P10_1178_cam101_100f.jpg,3.00,2.00,1.56,0.00,1.04,-1.22
M3,1179,P10,H_P10_1179_cam101_100f.jpg,3.00,2.00,0.50,,1.01,1.08
M3,1180,P10,H_P10_1180_cam101_100f.jpg,7.00,2.00,4.87,2.81,2.44,1.15
M3,1181,P10,H_P10_1181_cam101_100f.jpg,10.00,4.00,2.50,1.50,3.60,2.18
M3,1182,P10,H_P10_1182_cam101_100f.jpg,11.00,0.00,1.44,0.95,3.81,-0.00
M3,1183,P10,H_P10_1183_cam101_100f.jpg,6.00,0.00,-0.91,-1.72,-1.90,-0.00
M3,1184,P10,H_P10_1184_cam101_100f.jpg,5.00,1.00,0.70,-0.49,1.62,0.51
M3,1185,P10,H_P10_1185_cam101_100f.jpg,3.00,2.00,0.95,0.33,1.04,1.03
M3,1186,P10,H_P10_1186_cam101_100f.jpg,3.00,1.00,3.03,1.10,-0.97,-0.48
M3,1187,P10,H_P10_1187_cam101_100f.jpg,0.00,1.00,1.39,0.67,-0.00,0.46
M3,1213,P10,J_P10_1213_cam101_100f.jpg,0.00,2.00,-0.23,-0.32,-0.00,1.03
M3,1214,P10,J_P10_1214_cam101_100f.jpg,7.00,0.00,2.89,2.70,2.19,-0.00
M3,1215,P10,J_P10_1215_cam101_100f.jpg,5.00,1.00,0.77,-0.34,1.78,-0.58
M3,1216,P10,J_P10_1216_cam101_100f.jpg,4.00,3.00,2.17,0.93,1.38,1.51
M3,1217,P10,J_P10_1217_cam101_100f.jpg,0.00,3.00,-0.70,-1.92,-0.00,1.64
M3,1218,P10,J_P10_1218_cam101_100f.jpg,3.00,2.00,0.68,0.78,1.04,1.10
M3,1219,P10,J_P10_1219_cam101_100f.jpg,7.00,0.00,-1.27,-0.87,-2.19,-0.00
M3,1220,P10,J_P10_1220_cam101_50f.jpg,7.00,1.00,-1.16,-1.57,2.23,-0.49
M3,1221,P10,J_P10_1221_cam101_100f.jpg,5.00,2.00,0.49,-1.84,-1.64,1.09
M3,1222,P10,J_P10_1222_cam101_50f.jpg,1.00,1.00,0.79,-0.37,-0.36,0.50
M3,1223,P10,J_P10_1223_cam101_50f.jpg,2.00,2.00,2.66,-1.54,0.64,1.01
M3,1224,P10,J_P10_1224_cam101_50f.jpg,0.00,1.00,1.18,1.83,-0.00,-0.56
M3,1225,P10,J_P10_1225_cam101_100f.jpg,4.00,2.00,2.45,0.86,1.42,1.11
M3,1226,P10,J_P10_1226_cam101_50f.jpg,1.00,2.00,-1.23,-0.34,-0.33,-1.01
M3,1227,P10,J_P10_1227_cam101_100f.jpg,10.00,1.00,0.00,0.88,3.22,0.56
M3,1228,P10,J_P10_1228_cam101_50f.jpg,4.00,3.00,0.74,0.34,1.18,-1.62
M3,1229,P10,J_P10_1229_cam101_100f.jpg,0.00,2.00,-1.23,-2.96,-0.00,-0.97
M3,1230,P10,J_P10_1230_cam101_100f.jpg,4.00,2.00,1.01,0.52,1.31,0.99
M3,1231,P10,J_P10_1231_cam101_100f.jpg,2.00,0.00,-1.44,-0.93,0.65,-0.00
M3,1232,P10,J_P10_1232_cam101_100f.jpg,5.00,0.00,-1.00,-0.88,-1.67,-0.00
M4,1543,P10,C_P10_1543_cam101_100f.jpg,4.00,1.00,0.00,-1.26,1.32,-0.56
M4,1544,P10,C_P10_1544_cam101_100f.jpg,1.00,2.00,0.74,1.01,-0.34,1.06
M4,1545,P10,C_P10_1545_cam101_100f.jpg,4.00,2.00,-1.21,-0.34,1.20,0.99
M4,1546,P10,C_P10_1546_cam101_100f.jpg,2.00,3.00,0.26,,0.70,-1.75
M4,1547,P10,C_P10_1547_cam101_100f.jpg,10.00,0.00,2.56,1.06,3.45,-0.00
M4,1548,P10,C_P10_1548_cam101_100f.jpg,13.00,0.00,2.58,2.56,4.35,-0.00
M4,1549,P10,C_P10_1549_cam101_100f.jpg,2.00,1.00,3.61,0.52,0.67,0.53
M4,1550,P10,C_P10_1550_cam101_100f.jpg,1.00,0.00,0.00,-1.89,0.33,-0.00
M4,1551,P10,C_P10_1551_cam101_100f.jpg,3.00,1.00,-2.94,-2.33,-0.97,-0.56
M4,1552,P10,C_P10_1552_cam101_100f.jpg,4.00,1.00,1.47,1.38,1.25,0.49
M4,1553,P10,C_P10_1553_cam101_100f.jpg,8.00,1.00,1.86,2.35,2.69,-0.52
M4,1554,P10,C_P10_1554_cam101_50f.jpg,6.00,3.00,1.81,-0.89,2.08,1.61
M4,1555,P10,C_P10_1555_cam101_100f.jpg,1.00,1.00,0.00,-1.29,-0.34,-0.53
M4,1556,P10,C_P10_1556_cam101_100f.jpg,9.00,4.00,2.14,1.77,3.03,2.10
M4,1557,P10,C_P10_1557_cam101_100f.jpg,3.00,0.00,-1.71,-3.47,1.04,-0.00
M4,1558,P10,C_P10_1558_cam101_100f.jpg,1.00,0.00,-0.23,-1.80,0.31,-0.00
M4,1559,P10,C_P10_1559_cam101_100f.jpg,3.00,1.00,-3.38,-2.36,-0.96,-0.53
